,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
335,1931,Rally NCP,149.900,,Cabriolet (Roadster),0,80,0
336,2006,Jeep Wrangler Sport 4,23.897,TJ,Geländewagen,121.815,177,0
337,1996,FIAT Cinquecento 0,3.497,Serie 170,Kleinwagen,23.121,39,0
338,1982,Volkswagen Käfer 1200 Mexico,8.497,Mexico,Limousine (2-Türen),72.339,34,0
339,2001,FIAT Barchetta,8.997,1a serie,Cabriolet (Roadster),113.972,131,0
340,2009,Mercedes-Benz SLK 200 Kompressor,15.997,R 171,Cabriolet (Roadster),147.614,184,0
341,1962,Lancia Flaminia Berlina,2.897,,Limousine (4-Türen),21.362,102,0
342,1936,Hanomag Rekord,21.889,15 K,Limousine (2-Türen),35.805,32,0
343,1958,Jaguar XK 150 SE OTS,98.000,150,Cabriolet (Roadster),40.233,213,0
344,1988,Rolls-Royce Corniche II,120.000,,Cabriolet,69.656,200,0
345,1967,Austin-Healey 3000 Mk III,85.000,ADO 26,Cabriolet (Roadster),23.057,148,0
346,1958,Jaguar 3,36.000,,Limousine,22.000,210,0
347,1977,Jaguar XJ 6 C 4,28.000,Serie II,Coupé,106.000,172,0
348,1982,Mercedes-Benz 300 GD,55.000,W 460,Geländewagen (Cabriolet),110.000,88,1935
349,1972,Lancia Fulvia Coupe HF 1,50.000,,Coupé,21.000,115,0
350,1959,FIAT 600 Multipla,55.900,,Bus,0,22,750
351,2000,Ferrari 360 Modena,79.950,,Coupé,125.900,400,0
352,1972,Lotus Elan Sprint,Auf Anfrage,,Cabriolet,135.828,126,680
353,2001,Lotus Esprit V8 SE,66.900,,Coupé,45.000,354,1308
354,1951,Daimler DB 18,Auf Anfrage,,Cabriolet,69.921,71,1650
355,1953,Austin A 40 Sports,Auf Anfrage,ADO 8,Cabriolet,0,50,970
356,1930,Ford Modell A,Auf Anfrage,,Pickup,88.689,40,1100
357,2007,Aston Martin V12 Vanquish S Ultimate Edition,Auf Anfrage,,Coupé,32.402,528,1875
358,1958,Mercedes-Benz 190 SL,Auf Anfrage,W 121 B II,Cabriolet (Roadster),0,105,1200
359,2002,Porsche 911 Carrera 4,Auf Anfrage,996,Coupé,195.115,320,1450
360,1967,Ford Mustang 289 Zagato,190.000,Mustang I Serie 2 | A-Code,Coupé (Fastback),0,228,0
361,1954,FIAT 1100-103,9.500,,Limousine,0,40,0
362,1957,Alfa Romeo 1900 Super Berlina,55.074,Typ 1900,Limousine (4-Türen),37.000,90,0
363,1965,Rolls-Royce Silver Cloud III,55.000,,Limousine (4-Türen),0,200,0
364,1997,EBM Speedster,32.000,,Cabriolet (Roadster),0,340,0
365,1952,Alfa Romeo 1900 Berlina,22.000,Typ 1900,Limousine,0,80,0
366,1972,Ford Capri 3000GT XLR,32.000,Serie I,Coupé,0,136,0
367,1960,MG MGA Twin Cam,Auf Anfrage,MK I,Cabriolet (Roadster),0,108,900
368,1965,Morris Mini Cooper S 1275,Auf Anfrage,Mk I,Limousine (2-Türen),0,76,640
369,2002,Aston Martin DB 7 Vantage Volante,Auf Anfrage,,Cabriolet,68.700,426,1750
370,1995,Mercedes-Benz E 320,Auf Anfrage,C 124,Coupé,155.142,220,1720
371,2000,Mitsubishi Lancer Evolution VI,Auf Anfrage,Evo VI,Limousine (4-Türen),182.029,280,1360
372,1989,Mercedes-Benz 300 SL,Auf Anfrage,R 107,Cabriolet (Roadster),166.084,180,1500
373,1960,Jaguar Mk II 3,Auf Anfrage,,Limousine (4-Türen),4.305,224,1480
374,1985,Carbodies FX 4 R London Taxi,Auf Anfrage,ADO 6,Limousine (4-Türen),21.784,84,1600
375,2000,Aston Martin DB 7 Vantage,Auf Anfrage,,Coupé,61.176,426,1750
376,1986,Porsche 911 Turbo 3,Auf Anfrage,930,Coupé,102.998,300,1140
377,1971,Rolls-Royce Corniche,Auf Anfrage,,Coupé,130.283,200,2185
378,1981,Mercedes-Benz 450 SLC,Auf Anfrage,C 107,Coupé,291.390,182,1650
379,1956,Jaguar XK 140 DHC,Auf Anfrage,140,Cabriolet,0,193,1210
380,2000,Rover Mini Cooper 40 - Limited Edition,Auf Anfrage,MK VII,Kleinwagen,1.770,63,0
381,2010,Bentley Continental GT Supersports,Auf Anfrage,,Coupé,35.405,630,2385
382,1992,Lotus Esprit SE,Auf Anfrage,X180,Coupé,3.402,243,1220
383,2000,Mercedes-Benz CLK 230 Kompressor,Auf Anfrage,A 208,Cabriolet,120.701,193,1700
384,1969,Ford Cortina 1600 E,Auf Anfrage,Mk II,Limousine,65.899,82,990
385,2014,Bentley Mulsanne,Auf Anfrage,3Y,Limousine (4-Türen),44.326,512,2585
386,1963,Morris Mini Cooper 850,Auf Anfrage,MK II,Limousine (2-Türen),144.839,34,620
387,1989,Mercedes-Benz 300 SL,Auf Anfrage,R 107,Cabriolet (Roadster),164.957,180,1500
388,1986,Mercedes-Benz 500 SL,Auf Anfrage,R 107,Cabriolet (Roadster),126.333,223,1600
389,2004,Land Rover Defender 90,Auf Anfrage,,Geländewagen (Hardtop),156.106,84,1765
390,1957,Alfa Romeo Giulietta Sprint,111.319,,Coupé,0,65,0
391,1963,Moretti 750 ,43.000,Serie II,Coupé,0,41,0
392,1927,B,220.000,,Rennwagen (Roadster),0,34,0
393,1964,Lancia Flavia Sport 1,63.000,,Coupé,2.000,105,0
394,1967,Ford Mustang 289 Zagato,190.000,Mustang I Serie 2 | A-Code,Coupé (Fastback),0,228,0
395,1954,FIAT 1100-103,9.500,,Limousine,0,40,0
396,1957,Alfa Romeo 1900 Super Berlina,55.074,Typ 1900,Limousine (4-Türen),37.000,90,0
397,1965,Rolls-Royce Silver Cloud III,55.000,,Limousine (4-Türen),0,200,0
398,1997,EBM Speedster,32.000,,Cabriolet (Roadster),0,340,0
399,1952,Alfa Romeo 1900 Berlina,22.000,Typ 1900,Limousine,0,80,0
400,1972,Ford Capri 3000GT XLR,32.000,Serie I,Coupé,0,136,0
401,1960,MG MGA Twin Cam,Auf Anfrage,MK I,Cabriolet (Roadster),0,108,900
402,1965,Morris Mini Cooper S 1275,Auf Anfrage,Mk I,Limousine (2-Türen),0,76,640
403,2002,Aston Martin DB 7 Vantage Volante,Auf Anfrage,,Cabriolet,68.700,426,1750
404,1995,Mercedes-Benz E 320,Auf Anfrage,C 124,Coupé,155.142,220,1720
405,2000,Mitsubishi Lancer Evolution VI,Auf Anfrage,Evo VI,Limousine (4-Türen),182.029,280,1360
406,1989,Mercedes-Benz 300 SL,Auf Anfrage,R 107,Cabriolet (Roadster),166.084,180,1500
407,1960,Jaguar Mk II 3,Auf Anfrage,,Limousine (4-Türen),4.305,224,1480
408,1985,Carbodies FX 4 R London Taxi,Auf Anfrage,ADO 6,Limousine (4-Türen),21.784,84,1600
409,2000,Aston Martin DB 7 Vantage,Auf Anfrage,,Coupé,61.176,426,1750
410,1986,Porsche 911 Turbo 3,Auf Anfrage,930,Coupé,102.998,300,1140
411,1971,Rolls-Royce Corniche,Auf Anfrage,,Coupé,130.283,200,2185
412,1981,Mercedes-Benz 450 SLC,Auf Anfrage,C 107,Coupé,291.390,182,1650
413,1956,Jaguar XK 140 DHC,Auf Anfrage,140,Cabriolet,0,193,1210
414,2000,Rover Mini Cooper 40 - Limited Edition,Auf Anfrage,MK VII,Kleinwagen,1.770,63,0
415,2010,Bentley Continental GT Supersports,Auf Anfrage,,Coupé,35.405,630,2385
416,1992,Lotus Esprit SE,Auf Anfrage,X180,Coupé,3.402,243,1220
417,2000,Mercedes-Benz CLK 230 Kompressor,Auf Anfrage,A 208,Cabriolet,120.701,193,1700
418,1969,Ford Cortina 1600 E,Auf Anfrage,Mk II,Limousine,65.899,82,990
419,2014,Bentley Mulsanne,Auf Anfrage,3Y,Limousine (4-Türen),44.326,512,2585
420,2000,Mitsubishi Lancer Evolution VI,Auf Anfrage,Evo VI,Limousine (4-Türen),151.273,280,1360
421,1963,Austin-Healey 3000 Mk II,Auf Anfrage,ADO 30,Cabriolet (Roadster),95.960,131,1100
422,2001,Maserati 3200 GT,40.000,,Coupé,40.233,370,0
423,1961,Jaguar XK 150 DHC,99.000,150,Cabriolet,68.000,193,0
424,1964,Jaguar E-Type 3,Auf Anfrage,Serie I,Cabriolet (Roadster),0,269,1290
425,1970,Mercedes-Benz 280 SE 3,94.000,W 111,Coupé,0,200,0
426,1966,Alfa Romeo Giulia 1600 Sprint GT,89.900,,Coupé,2.588,106,1050
427,1991,Ferrari Testarossa,395.000,,Coupé,0,390,0
428,1999,Ferrari F 355 Spider,119.950,F 129,Cabriolet,42.755,381,0
429,1954,Mercedes-Benz 300 S,299.500,W 188 I,Coupé,83.709,150,0
430,1964,Lancia Flaminia GT 2,74.950,,Coupé,0,140,0
431,2004,Porsche 911 GT3 RS Clubsport,264.500,996,Coupé,39.379,381,0
432,1963,Chevrolet Corvette Sting Ray Convertible,78.500,C2,Cabriolet,47.467,250,0
433,1959,Mercedes-Benz 190 SL,138.500,W 121 B II,Cabriolet (Roadster),27.401,105,0
434,1973,Citroën SM,58.950,C 114/1,Coupé,50.321,170,1460
435,1964,Jaguar E-Type 3,Auf Anfrage,Serie I,Cabriolet (Roadster),0,269,1290
436,1970,Mercedes-Benz 280 SE 3,94.000,W 111,Coupé,0,200,0
437,1966,Alfa Romeo Giulia 1600 Sprint GT,89.900,,Coupé,2.588,106,1050
438,1991,Ferrari Testarossa,395.000,,Coupé,0,390,0
439,1999,Ferrari F 355 Spider,119.950,F 129,Cabriolet,42.755,381,0
440,1954,Mercedes-Benz 300 S,299.500,W 188 I,Coupé,83.709,150,0
441,1964,Lancia Flaminia GT 2,74.950,,Coupé,0,140,0
442,2004,Porsche 911 GT3 RS Clubsport,264.500,996,Coupé,39.379,381,0
443,1963,Chevrolet Corvette Sting Ray Convertible,78.500,C2,Cabriolet,47.467,250,0
444,1959,Mercedes-Benz 190 SL,138.500,W 121 B II,Cabriolet (Roadster),27.401,105,0
445,1973,Citroën SM,58.950,C 114/1,Coupé,50.321,170,1460
446,1934,Alfa Romeo 6C 2300 Pescara,685.000,,Cabriolet (Roadster),78.835,95,0
447,1951,Bentley 6 1,349.950,,Rennwagen (Offen),0,195,0
448,1993,Jaguar XJ 220 C,Auf Anfrage,,Coupé (Rennwagen),0,550,0
449,1988,Lamborghini Countach LP 5000 S QV,675.000,,Coupé,33.692,455,0
450,1959,BMW 600,33.000,Typ 111,Kleinwagen,0,20,0
451,1964,Renault R 4,11.000,,Limousine (5-Türen),62.700,24,700
452,1972,Alfa Romeo Giulia GT 1300 Junior,49.950,,Coupé,89.899,89,0
453,2013,Volkswagen Scirocco 2,9.990,Typ 13,Coupé,189.615,140,0
454,2003,Volkswagen Golf IV Cabrio 2,9.990,Typ 1J,Cabriolet,59.899,115,0
455,1969,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,47.134,110,1080
456,1967,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,116.573,160,1080
457,1994,Jaguar XJS 4,Auf Anfrage,Series III,Coupé,162.543,222,1760
458,2015,BMW 318d,17.950,F30,Limousine (4-Türen),129.000,150,0
459,1932,Alfa Romeo 6C 1750 Gran Turismo Compressore,937.427,,Cabriolet (Roadster),0,80,0
460,1931,Bentley 3 Liter,498.008,,Cabriolet (Tourer),0,70,0
461,1972,Ford Capri  I 2600 RS,34.500,Serie I,Coupé,60.000,150,1100
462,1975,Triumph Dolomite,1.999,,Limousine,75.126,71,0
463,1974,Rolls-Royce Silver Shadow I,25.000,,Limousine (4-Türen),170.000,200,0
464,1963,Lancia Flaminia GT Touring,130.000,,Coupé,77.100,119,1520
465,1959,BMW 600,33.000,Typ 111,Kleinwagen,0,20,0
466,1964,Renault R 4,11.000,,Limousine (5-Türen),62.700,24,700
467,1972,Alfa Romeo Giulia GT 1300 Junior,49.950,,Coupé,89.899,89,0
468,2013,Volkswagen Scirocco 2,9.990,Typ 13,Coupé,189.615,140,0
469,2003,Volkswagen Golf IV Cabrio 2,9.990,Typ 1J,Cabriolet,59.899,115,0
470,1969,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,47.134,110,1080
471,1967,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,116.573,160,1080
472,1994,Jaguar XJS 4,Auf Anfrage,Series III,Coupé,162.543,222,1760
473,2015,BMW 318d,17.950,F30,Limousine (4-Türen),129.000,150,0
474,1932,Alfa Romeo 6C 1750 Gran Turismo Compressore,937.427,,Cabriolet (Roadster),0,80,0
475,1931,Bentley 3 Liter,498.008,,Cabriolet (Tourer),0,70,0
476,1972,Ford Capri  I 2600 RS,34.500,Serie I,Coupé,60.000,150,1100
477,1975,Triumph Dolomite,1.999,,Limousine,75.126,71,0
478,1974,Rolls-Royce Silver Shadow I,25.000,,Limousine (4-Türen),170.000,200,0
479,1963,Lancia Flaminia GT Touring,130.000,,Coupé,77.100,119,1520
480,1993,Lamborghini Diablo VT,Auf Anfrage,,Coupé,15.000,492,0
481,1979,Alfa Romeo Alfetta GTV 2,Auf Anfrage,,Coupé,0,175,0
482,1967,Abarth OT 1300 Periscopio,Auf Anfrage,,Coupé,0,147,0
483,1993,Jaguar XJ 220,Auf Anfrage,,Coupé,17.000,549,0
484,2014,Maserati GranTurismo Sport,Auf Anfrage,,Coupé,51.000,460,0
485,1932,FIAT 508 Balilla Serie 1,18.000,,Limousine (2-Türen),0,20,0
486,1995,Porsche 911 Turbo,Auf Anfrage,993,Coupé,114.000,408,0
487,1962,Lancia Flaminia Sport Zagato,Auf Anfrage,,Coupé,0,119,0
488,2006,Ferrari F430 Spider,Auf Anfrage,F 131,Cabriolet,27.000,490,0
489,1964,Lamborghini 350 GT,Auf Anfrage,,Coupé,0,280,0
490,1986,Mercedes-Benz 190 E 2,25.000,W 201,Limousine (4-Türen),190.000,185,0
491,1985,Mercedes-Benz 500 SL,55.000,R 107,Cabriolet (Roadster),150.000,231,0
492,1962,Ferrari 250 GT Spyder California SWB,Auf Anfrage,,Cabriolet,4.000,280,0
493,1963,FIAT 2300 S ,52.000,,Coupé,0,136,0
494,1950,Lancia Aurelia B50,Auf Anfrage,,Cabriolet,0,56,0
495,1994,Audi 80 - 2,8.900,B4 / Typ 8C,Limousine (4-Türen),66.100,115,0
496,1991,Ford Orion 1,999.000,Orion `86,Limousine (4-Türen),19.000,71,0
497,2002,BMW 330Ci,Auf Anfrage,E46,Cabriolet,58.741,231,1385
498,1974,Lamborghini Urraco P 250,Auf Anfrage,,Coupé,0,220,1200
499,2006,Ferrari 612 Scaglietti,Auf Anfrage,,Coupé,45.306,540,1800
500,1943,Volkswagen 166,210.000,Typ 82,Geländewagen (Schwimmwagen),33.880,24,0
501,1966,Ford Mustang 289,41.500,Mustang I Serie 1 | A-Code,Cabriolet,103.040,228,0
502,1970,Mazda 110 S Cosmo Sport,135.000,,Coupé,73.310,110,0
503,1960,Jaguar Mk II 3,89.500,,Limousine (4-Türen),28.887,224,0
504,1951,Jaguar XK 120 OTS,109.900,120,Cabriolet (Roadster),91.604,162,0
505,1963,Porsche 356 B Carrera 2,Auf Anfrage,B,Coupé,0,130,0
506,1900,Mercedes-Benz 600 SL,Auf Anfrage,R 129,Cabriolet (Roadster),231.058,394,1870
507,2002,Bentley Continental R Le Mans,153.510,,Coupé,20.000,426,0
508,2005,Aston Martin V8 Vantage,49.950,,Coupé,48.755,385,0
509,1977,Porsche 911 2,49.950,"""G-Modell""",Coupé,243.948,165,0
510,2022,Chevrolet Corvette Stingray,104.950,C8,Cabriolet (Roadster),25.000,482,0
511,2015,Porsche Cayman GT4,98.781,981c,Coupé,16.000,385,0
512,1975,Alfa Romeo Montreal,80.000,,Coupé,93.601,195,0
513,2016,Porsche Panamera 4S Diesel,86.500,971,Limousine (5-Türen),46.000,422,0
514,1983,FIAT 126,4.500,,Limousine (2-Türen),24.413,24,600
515,2000,Ferrari 360 Modena,104.950,,Coupé,69.000,400,0
516,1969,Mercedes-Benz 280 SL,119.950,W 113,Cabriolet (Roadster),32.000,170,0
517,1979,Rolls-Royce Silver Shadow II,Auf Anfrage,,Limousine (4-Türen),193.647,200,2060
518,2003,Mercedes-Benz SLK 200 Kompressor,Auf Anfrage,R 170,Cabriolet (Roadster),87.815,163,1300
519,2012,Jaguar XKR,Auf Anfrage,X150,Cabriolet,79.099,510,1800
520,1984,Volkswagen T3 Caravelle 1,11.718,Typ 2,Bus,634.061,60,0
521,1976,Mini 1275 GT,29.236,,Limousine (2-Türen),0,60,0
522,1962,Vanden Plas Princess,16.900,DM4,Limousine,79.012,120,0
523,2005,Audi TT 1,29.000,8N,Coupé,183.000,240,0
524,2023,Honda Civic Type R,67.500,FE/FL,Limousine (5-Türen),2.904,329,0
525,1990,Bentley Turbo R,Auf Anfrage,,Limousine (4-Türen),233.354,320,2450
526,2008,Ferrari 599 GTB Fiorano,Auf Anfrage,,Coupé,60.511,620,1580
527,2008,Ferrari F430,Auf Anfrage,F 131,Coupé,41.521,490,1450
528,1970,FIAT Dino 2400 Coupe,22.500,,Coupé,89.228,180,0
529,1969,Morris Mini Cooper S 1275,Auf Anfrage,Mk II,Limousine (2-Türen),50.533,76,700
530,1989,Porsche 911 Turbo 3,175.500,930,Cabriolet,59.200,286,0
531,1964,Jaguar Mk X 3,Auf Anfrage,,Limousine,57.936,220,1900
532,1980,Ferrari 512 BB,Auf Anfrage,,Coupé,0,360,0
533,1974,Jaguar XJ 12 L,Auf Anfrage,Serie II,Limousine (4-Türen),50.239,285,1740
534,1983,Rolls-Royce Corniche II,Auf Anfrage,,Cabriolet,258.386,200,2300
535,1957,Chevrolet 3100 ,Auf Anfrage,3100,Pickup,0,280,0
536,1994,Audi 80 - 2,8.900,B4 / Typ 8C,Limousine (4-Türen),66.100,115,0
537,1991,Ford Orion 1,999.000,Orion `86,Limousine (4-Türen),19.000,71,0
538,2002,BMW 330Ci,Auf Anfrage,E46,Cabriolet,58.741,231,1385
539,1974,Lamborghini Urraco P 250,Auf Anfrage,,Coupé,0,220,1200
540,1959,Mercedes-Benz 190 SL,Auf Anfrage,W 121 B II,Cabriolet (Roadster),116.811,105,1200
541,1969,Giannini 650 NP,15.000,,Kleinwagen,63.000,35,0
542,1993,Mercedes-Benz 300 SL,Auf Anfrage,R 129,Cabriolet (Roadster),80.490,190,1870
543,1996,Jeep Wrangler Sport 2,Auf Anfrage,TJ,Geländewagen,115.911,118,1430
544,1980,BMW 735i,Auf Anfrage,E23,Limousine (4-Türen),149.846,218,1650
545,1982,Mercedes-Benz 380 SEC,Auf Anfrage,C 126,Coupé,93.781,218,1550
546,1995,Porsche 968,Auf Anfrage,968,Coupé,160.992,240,1300
547,1987,Bentley Continental,Auf Anfrage,,Cabriolet,73.906,240,2360
548,1999,Honda NSX,Auf Anfrage,NA2,Coupé,169.254,280,1270
549,1971,Rolls-Royce Silver Shadow I,Auf Anfrage,,Limousine (4-Türen),108.236,172,2060
550,1977,Rover 3500,Auf Anfrage,SD1,Limousine,2.694,155,1420
551,1991,Nissan Figaro,Auf Anfrage,,Cabriolet (Limousine),105.652,76,810
552,1997,Rover Mini Cooper Sport,Auf Anfrage,MK VII,Kleinwagen,101.388,63,720
553,1993,Land Rover Defender 90,Auf Anfrage,,Geländewagen (Offen),198.129,185,0
554,2001,Bentley Azure,Auf Anfrage,Serie I,Cabriolet,49.085,389,2600
555,1996,Jeep Wrangler Sport 2,Auf Anfrage,TJ,Geländewagen,115.911,118,1430
556,1980,BMW 735i,Auf Anfrage,E23,Limousine (4-Türen),149.846,218,1650
557,1982,Mercedes-Benz 380 SEC,Auf Anfrage,C 126,Coupé,93.781,218,1550
558,1995,Porsche 968,Auf Anfrage,968,Coupé,160.992,240,1300
559,1987,Bentley Continental,Auf Anfrage,,Cabriolet,73.906,240,2360
560,1999,Honda NSX,Auf Anfrage,NA2,Coupé,169.254,280,1270
561,1971,Rolls-Royce Silver Shadow I,Auf Anfrage,,Limousine (4-Türen),108.236,172,2060
562,1977,Rover 3500,Auf Anfrage,SD1,Limousine,2.694,155,1420
563,1991,Nissan Figaro,Auf Anfrage,,Cabriolet (Limousine),105.652,76,810
564,1997,Rover Mini Cooper Sport,Auf Anfrage,MK VII,Kleinwagen,101.388,63,720
565,1993,Land Rover Defender 90,Auf Anfrage,,Geländewagen (Offen),198.129,185,0
566,2001,Bentley Azure,Auf Anfrage,Serie I,Cabriolet,49.085,389,2600
567,1986,Mercedes-Benz 300 SL,45.000,R 107,Cabriolet (Roadster),149.391,188,1500
568,1984,BMW M5,Auf Anfrage,E28,Limousine,0,286,1350
569,1999,BMW 528i,5.859,E39,Limousine (4-Türen),64.374,193,1440
570,1984,BMW M5,Auf Anfrage,E28,Limousine,0,286,1350
571,1999,BMW 528i,5.859,E39,Limousine (4-Türen),64.374,193,1440
572,1957,Jaguar 3,49.000,,Limousine,0,210,0
573,1962,Austin-Healey 3000 Mk II,42.000,ADO 30,Cabriolet (Roadster),77.200,131,1100
574,1988,BMW M3,200.000,E30,Limousine (2-Türen),0,195,0
575,1967,Citroën DS 19,19.000,DS,Limousine (4-Türen),37.000,90,0
576,1962,Mercedes-Benz 190 SL,115.000,W 121 B II,Cabriolet (Roadster),9.500,105,0
577,1955,Badel 550,89.000,,Cabriolet (Roadster),0,60,0
578,1984,Alfa Romeo 2300 Bianchi,98.000,,Cabriolet (Roadster),0,150,0
579,1931,Alfa Romeo 6C 1750 Gran Sport,225.000,,Cabriolet,0,85,0
580,1926,Hudson GP,78.000,,Rennwagen,0,95,0
581,1942,Alfa Romeo 6C 2500 Super Sport,Auf Anfrage,,Limousine,0,110,0
582,1968,Ford Cobra 427 C,54.000,,Cabriolet (Roadster),0,230,0
583,1936,FIAT 1500 6C Barchetta,95.000,,Cabriolet (Roadster),0,45,0
584,1940,Alfa Romeo 6C 2500 Super Sport,485.000,,Limousine,0,110,0
585,1940,Alfa Romeo 6C 2500 Super Sport,485.000,,Limousine,0,110,0
586,2003,Bizzarrini P 578,Auf Anfrage,,Rennwagen,0,350,0
587,1986,Alfa Romeo Spider Quadrifoglio,16.850,Tipo 115 - Serie 3a,Cabriolet,0,116,0
588,1939,Chevrolet Special,65.000,,Cabriolet (Roadster),0,85,0
589,1931,DeSoto GP Special,96.000,,Rennwagen (Offen),0,95,0
590,1953,Borghi 356 B Carrera GTL Abarth,225.000,B,Coupé,0,115,0
591,1979,Maserati 330 ATL,Auf Anfrage,,Coupé,0,265,0
592,1991,Morgan Plus 8,49.500,,Cabriolet (Roadster),42.863,190,0
593,1968,FIAT Dino Spider,135.000,,Cabriolet,0,160,0
594,1926,FN Typ 1300Sp,79.500,,Rennwagen,0,87,0
595,1960,Alfa Romeo 1150 Conrero,165.000,,Cabriolet (Roadster),0,125,0
596,1983,Porsche 911 Turbo 3,138.000,930,Coupé,147.805,300,0
597,1930,Chrysler Special,78.000,,Cabriolet (Roadster),0,125,0
598,1954,Jaguar XK 140 SE DHC,100.000,140,Cabriolet,63.410,213,0
599,1973,Jensen Interceptor MK III,Auf Anfrage,MK III,Coupé,4.017,330,1820
600,1983,BMW 528i,14.600,E28,Limousine,114.000,184,0
601,2005,Bentley Continental GT,17.577,,Coupé,75.961,560,2385
602,1998,Alfa Romeo GTV 2,14.800,Tipo 916,Coupé (2-Türen),86.000,202,1500
603,2001,Mercedes-Benz SLK 320,17.500,R 170,Cabriolet (Roadster),116.718,218,0
604,1969,FIAT 500 F,7.900,,Limousine (2-Türen),0,18,0
605,2000,Subaru Impreza 2,14.800,,Limousine (4-Türen),275.228,218,1250
606,1971,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,141.300,165,1080
607,1936,Horch 853 Sport,580.000,,Cabriolet,1.001,100,0
608,1940,Horch 853 A Sport,790.000,,Cabriolet,1.001,120,0
609,1924,Bentley 3 Liter,Auf Anfrage,,Cabriolet (Roadster),0,70,0
610,2000,Chevrolet Suburban,Auf Anfrage,10. Generation,Kombi,117.482,285,0
611,1964,Triumph TR 4,Auf Anfrage,,Cabriolet,11.631,100,1000
612,1958,Jaguar 3,Auf Anfrage,,Limousine,107.699,210,1435
613,1998,Mercedes-Benz SL 500 Brabus,48.000,R 129,Cabriolet (Roadster),0,320,0
614,1990,Mercedes-Benz 300 CE,17.000,C 124,Coupé,162.000,179,0
615,1973,Jensen Interceptor MK III,Auf Anfrage,MK III,Coupé,72.039,330,1820
616,1983,Maserati Merak SS,Auf Anfrage,Tipo AM 122,Coupé,82.076,220,1400
617,1987,Ford Fiesta XR2,8.500,Serie II,Limousine (2-Türen),61.000,95,0
618,1971,Porsche 911 2,Auf Anfrage,"""Urmodell""",Coupé,143.505,125,1080
619,2018,Jaguar I-Pace EV400 HSE,Auf Anfrage,,Geländewagen,56.327,400,2208
620,1967,MG MGB,35.154,B Serie I,Cabriolet (Roadster),11.883,96,1010
621,1991,Renault Clio I 1,11.500,Phase I / Typ 57,Kleinwagen,137.000,135,0
622,1969,Jaguar E-Type,Auf Anfrage,Serie II,Coupé,114.881,265,1290
623,2007,Porsche 911 GT3,115.900,997.1,Coupé,60.500,415,0
624,1956,Jaguar XK 140 SE DHC,127.500,140,Cabriolet,0,213,0
625,2008,Aston Martin DBS,140.555,,Coupé,28.460,517,1695
626,1997,BMW Z3 M 3,49.000,E 36-7S,Cabriolet (Roadster),37.175,321,0
627,1998,BMW Z3 M 3,34.391,E 36-7S,Cabriolet (Roadster),110.686,321,0
628,1965,Abarth 695 SS,Auf Anfrage,Type 120,Coupé,0,38,0
629,1959,Austin-Healey 3000 Mk I,Auf Anfrage,ADO 30,Cabriolet (Roadster),0,124,1118
630,2007,Lamborghini Gallardo,Auf Anfrage,,Coupé,42.487,520,1430
631,1959,BMW Isetta 300,Auf Anfrage,Typ 102,Kleinwagen,0,13,350
632,1959,Triumph TR 3A,Auf Anfrage,,Cabriolet (Roadster),38.624,100,900
633,1972,Mercedes-Benz 350 SL,Auf Anfrage,R 107,Cabriolet (Roadster),148.864,200,1650
634,1956,Austin-Healey 100,Auf Anfrage,,Cabriolet,2.622,110,910
635,1978,Rolls-Royce Silver Shadow II,Auf Anfrage,,Limousine (4-Türen),51.935,200,2060
636,1970,Chevrolet C10 Stepside,Auf Anfrage,Serie II,Pickup,123.126,255,0
637,2002,Porsche 911 Carrera 4S,Auf Anfrage,996,Coupé,171.049,320,1450
638,1971,Triumph TR 6,Auf Anfrage,,Cabriolet (Roadster),53.509,98,1030
639,1974,Aston Martin V8,Auf Anfrage,,Coupé,221.593,345,1820
640,1988,Ferrari 328 GTS,Auf Anfrage,,Cabriolet (Targa),110.562,255,1273
641,1973,Lamborghini Espada,Auf Anfrage,Tipo 108 - Serie III,Coupé,30.595,350,1480
642,2005,Maybach 62,Auf Anfrage,,Limousine (4-Türen),150.473,550,2855
643,1997,Porsche Boxster,Auf Anfrage,986,Cabriolet (Roadster),79.180,204,1300
644,1964,Bentley S 3 Continental,Auf Anfrage,,Cabriolet,143.611,200,2200
645,1972,Ferrari Dino 246 GT,Auf Anfrage,E Series,Coupé,35.003,195,1080
646,1936,Singer 9 Le Mans,Auf Anfrage,,Cabriolet (Roadster),0,38,0
647,2000,Rolls-Royce Corniche V,Auf Anfrage,,Cabriolet,7.199,331,0
